seq,latency_ns
3971,53333
3972,54575
3973,46922
3974,37048
3975,27116
3976,1056735
3977,1052700
3978,1042841
3979,1032933
3980,1023083
3981,1013137
3982,1003201
3983,994035
3984,984463
3985,975130
3986,965635
3987,961385
3988,951764
3989,942328
3990,932668
3991,923166
3992,913655
3993,904101
3994,894458
3995,884906
3996,877137
3997,867590
3998,858044
3999,848367
4000,838706
4001,829363
4002,819700
4003,810798
4004,801276
4005,791792
4006,782435
4007,772941
4008,766557
4009,757112
4010,747487
4011,737873
4012,728199
4013,718662
4014,709076
4015,699523
4016,689975
4017,680577
4018,670953
4019,662163
4020,652548
4021,644823
4022,635382
4023,625703
4024,616135
4025,606496
4026,596837
4027,587226
4028,577722
4029,568024
4030,558431
4031,548856
4032,539220
4033,529757
4034,522108
4035,513414
4036,503794
4037,494237
4038,484592
4039,474990
4040,465474
4041,455795
4042,446205
4043,436544
4044,426879
4045,417234
4046,407752
4047,399895
4048,390300
4049,380969
4050,371304
4051,362385
4052,352832
4053,343185
4054,333618
4055,324063
4056,314467
4057,304866
4058,295310
4059,285703
4060,278033
4061,308286
4062,298527
4063,288688
4064,278824
4065,268883
4066,258976
4067,249104
4068,239158
4069,229214
4070,219308
4071,209371
4072,199423
4073,189539
4074,179606
4075,169660
4076,159770
4077,149838
4078,139895
4079,132556
4080,122657
4081,112734
4082,102830
4083,92900
4084,82967
4085,73083
4086,63156
4087,53210
4088,43302
4089,33357
4090,2360143
4091,2350952
4092,2341211
4093,2331639
4094,2322235
4095,2312919
4096,2303321
4097,2293964
4098,2286775
4099,2278086
4100,2268456
4101,2258870
4102,2249160
4103,2239572
4104,2229937
4105,2220252
4106,2210668
4107,2200958
4108,2191586
4109,2182087
4110,2172404
4111,2164857
4112,2155288
4113,2145898
4114,2135942
4115,2127515
4116,2117677
4117,2107811
4118,2097988
4119,2088103
4120,2078188
4121,2068357
4122,2058571
4123,2048861
4124,2041210
4125,2031737
4126,2022103
4127,2012464
4128,2002807
4129,1993483
4130,1983921
4131,1974895
4132,1965329
4133,1955740
4134,1946167
4135,1936433
4136,1928950
4137,1919411
4138,1909743
4139,1900181
4140,1890657
4141,1881029
4142,1871427
4143,1861863
4144,1852167
4145,1842812
4146,1833162
4147,1824240
4148,1814835
4149,1807158
4150,1797596
4151,1788037
4152,1778422
4153,1768878
4154,1759397
4155,1749805
4156,1740300
4157,1730815
4158,1721194
4159,1711535
4160,1702005
4161,1692844
4162,1685073
4163,1676193
4164,1666840
4165,1643539
4166,1643578
4167,1637552
4168,1600373
4169,1600475
4170,1600597
4171,1598550
4172,1588968
4173,1579295
