seq,latency_ns
11326,254963
11327,252929
11328,249106
11329,245191
11330,241285
11331,237387
11332,238497
11333,234648
11334,230725
11335,226789
11336,222888
11337,218957
11338,215010
11339,211147
11340,207206
11341,203268
11342,3007289
11343,3004035
11344,3000163
11345,2996255
11346,2992323
11347,2988415
11348,2984476
11349,2980538
11350,2976598
11351,2972702
11352,2968765
11353,2964830
11354,2960891
11355,2956954
11356,2953011
11357,2949078
11358,2945232
11359,2941294
11360,2937356
11361,2933418
11362,2929483
11363,2925528
11364,2921620
11365,2917675
11366,2913835
11367,2909894
11368,2905952
11369,2902096
11370,2898148
11371,2894201
11372,2890346
11373,2886411
11374,2882467
11375,2878523
11376,2874578
11377,2870645
11378,2866772
11379,2862817
11380,2858881
11381,2854967
11382,2851030
11383,2847131
11384,2843178
11385,2839239
11386,2835291
11387,2831337
11388,2827412
11389,2823477
11390,2819524
11391,2815577
11392,2811630
11393,2807676
11394,2803735
11395,2799802
11396,2795867
11397,2791925
11398,2787991
11399,2784052
11400,2780105
11401,2776159
11402,2772212
11403,2768283
11404,2764363
11405,2760537
11406,2754681
11407,2752664
11408,2748702
11409,2744764
11410,2740825
11411,2736875
11412,2732933
11413,2728996
11414,2725039
11415,2721108
11416,2717170
11417,2713214
11418,2709285
11419,2705360
11420,2701516
11421,2697589
11422,2693654
11423,2689697
11424,2685761
11425,2681881
11426,2677945
11427,2673996
11428,2670053
11429,2666188
11430,2662254
11431,2658302
11432,2654357
11433,2650426
11434,2646478
11435,2644200
11436,2640253
11437,2636328
11438,2632370
11439,2628445
11440,2624506
11441,2620556
11442,2616611
11443,2612665
11444,2608713
11445,2604778
11446,2600828
11447,2596890
11448,2592949
11449,2589006
11450,2585156
11451,2581213
11452,2577269
11453,2573323
11454,2569389
11455,2565449
11456,2561494
11457,2557543
11458,2553606
11459,2549651
11460,2545718
11461,2541777
11462,2537833
11463,2533894
11464,2529940
11465,2526005
11466,2522058
11467,2518121
11468,2514169
11469,2510234
11470,2506338
11471,2502403
11472,2498461
11473,2494530
11474,2490582
11475,2486645
11476,2482700
11477,2478759
11478,2474819
11479,2470869
11480,2466933
11481,2462982
11482,2459048
11483,2455095
11484,2451157
11485,2447222
11486,2443281
11487,2439323
11488,2435388
11489,2431576
11490,2427640
11491,2423707
11492,2419762
11493,2415821
11494,2411881
11495,2407948
11496,2404000
11497,2400070
11498,2396125
11499,2392193
11500,2388256
11501,2384300
11502,2380356
11503,2376410
11504,2372462
11505,2368526
11506,2364598
11507,2360646
11508,2356699
11509,2352756
11510,2348808
11511,2344870
11512,2340937
11513,2336975
11514,2333042
11515,2329105
11516,2325156
11517,2321208
11518,2317263
11519,2313312
11520,2309372
11521,2305436
11522,2301486
11523,2297544
11524,2293619
11525,2289689
11526,2285738
11527,2281808
11528,2277844
11529,2273912
11530,2269979
11531,2266036
