seq,latency_ns
4360,20261
4361,11202
4362,3990737
4363,3981414
4364,3971990
4365,3962680
4366,3956705
4367,3946853
4368,3936960
4369,3927048
4370,3917200
4372,3897261
4374,3879388
4375,3869870
4376,3861314
4377,3851935
4378,3842436
4379,3832909
4380,3823332
4381,3813790
4382,3804234
4383,3794618
4384,3785041
4385,3775617
4386,3766155
4387,3758850
4388,3749373
4389,3739933
4390,3730360
4391,3720919
4392,3712107
4393,3702532
4394,3692912
4395,3683413
4396,3673914
4397,3664319
4398,3654719
4399,3647046
4400,3637472
4401,3628086
4402,3618516
4403,3608997
4404,3599426
4405,3589774
4406,3580239
4407,3570771
4408,3562090
4409,3552494
4410,3542835
4411,3533306
4412,3525614
4413,3516043
4414,3506659
4415,3497102
4416,3487435
4417,3478152
4418,3468670
4419,3459023
4420,3449323
4421,3439844
4422,3430163
4423,3420596
4424,3411909
4425,3404230
4426,3394629
4427,3385046
4428,3375417
4429,3365915
4430,3356264
4431,3346627
4432,3337094
4433,3327591
4434,3317956
4435,3308287
4436,3298764
4437,3289227
4438,3282266
4439,3272673
4440,3263748
4441,3254258
4442,3244941
4443,3235400
4444,3225894
4445,3216332
4446,3206704
4447,3197136
4448,3187488
4449,3178052
4450,3168574
4451,3161138
4452,3151600
4453,3141964
4454,3132366
4456,3113513
4457,3103954
4458,3094370
4459,3084768
4460,3075138
4461,3065608
4462,3056017
4463,3046456
4464,3038780
4465,3029430
4467,3009728
4468,3000109
4469,2990701
4470,2981511
4471,2972021
4472,2965508
4473,2955592
4474,2945659
4475,2935745
4476,2925810
4477,2915859
4478,2907478
4479,2897963
4480,2888337
4481,2878890
4482,2869187
4483,2859665
4484,2850024
4485,2840387
4486,2830743
4487,2821178
4488,2812245
4489,2802695
4490,2792974
4491,2785185
4492,2775609
4493,2766175
4494,2756487
4495,2746846
4496,2737382
4497,2728003
4498,2718455
4499,2708897
4500,2699285
4501,2689701
4502,2680131
4503,2670481
4504,2663433
4506,2643894
4507,2634383
4508,2624723
4509,2615119
4510,2605526
4511,2595945
4512,2586445
4513,2577114
4514,2567437
4515,2557766
4516,2548318
4517,2538679
4518,2530972
4519,2521459
4520,2512653
4521,2503010
4522,2493314
4523,2483777
4524,2474179
4525,2464611
4526,2455054
4527,2445391
4528,2435762
4529,2426389
4530,2418618
4531,2409200
4532,2399516
4533,2390105
4534,2380582
4535,2371042
4536,2362180
4537,2352734
4538,2343091
4539,2333526
4540,2323959
4541,2314466
4542,2304802
4543,2296930
4544,2287381
4545,2277889
4546,2268311
4547,2258678
4548,2249059
4549,2239405
4550,2229803
4551,2220143
4552,2211164
4553,2201510
4554,2191882
4555,2182302
4556,2174647
4557,2164950
4558,2155270
4559,2145904
4560,2136513
4561,2127192
4562,2117635
4563,2107958
4564,2098306
4565,2088666
4566,2078959
4567,2069396
4568,2060432
4569,2052619
4570,2043126
4571,2033422
4572,2023762
4573,2014165
4574,2004551
4575,1995053
4576,1986618
4577,1976689
4578,1966755
4579,1956806
4580,1947030
