seq,latency_ns
3880,25311
3881,19298
3882,9465
3883,1054868
3884,1045578
3885,1036174
3886,1031735
3887,1021952
3888,1012023
3889,1002091
3890,992221
3891,982304
3892,973637
3893,964253
3894,954667
3895,945586
3896,937272
3897,927719
3898,918182
3899,908729
3900,899218
3901,889726
3902,880238
3903,870877
3904,861359
3905,854230
3906,844728
3907,835212
3908,825608
3909,816038
3910,806615
3911,797129
3912,788325
3913,778883
3914,769732
3915,760283
3916,750744
3917,743155
3918,733689
3919,724104
3920,714658
3921,705283
3922,720996
3923,711194
3924,701339
3925,691478
3926,681624
3927,671680
3928,661737
3929,651875
3930,641932
3931,631984
3932,622099
3933,612154
3934,602209
3935,592264
3936,582329
3937,572374
3938,562424
3939,552511
3940,542564
3941,532666
3942,522766
3943,512810
3944,502905
3945,492957
3946,483045
3947,473138
3948,463196
3949,453254
3950,443074
3951,433395
3952,423441
3953,413557
3954,403640
3955,393687
3956,383842
3957,373890
3958,363964
3959,354011
3960,344070
3961,334123
3962,324223
3963,314295
3964,311935
3965,302088
3966,292150
3967,282253
3968,272375
3969,262427
3970,252506
3971,242649
3972,232702
3973,222767
3974,212870
3975,202922
3976,192974
3977,183036
3978,173091
3979,163137
3980,153240
3981,143368
3982,133756
3983,124169
3984,114452
3985,104986
3986,95404
3987,86049
3988,76443
3989,1130729
3990,1205767
3991,1195957
3992,1187691
3993,1177842
3994,1170227
3995,1160661
3996,1150852
3997,1140922
3998,1131229
3999,1121585
4000,1111928
4001,1102648
4002,1093034
4003,1083444
4004,1073873
4005,1064450
4006,1059029
4007,1049214
4008,1039332
4009,1029406
4010,1019527
4011,1009582
4012,999710
4013,990149
4014,980446
4015,970802
4016,961187
4017,951881
4018,942515
4019,932903
4020,925151
4021,915634
4022,906111
4023,896443
4024,887527
4025,877942
4026,868349
4027,858611
4028,849083
4029,839401
4030,829938
4031,820245
4032,810657
4033,803022
4034,793465
4035,783858
4036,774238
4037,764684
4038,755001
4039,745455
4040,736650
4041,727220
4042,717505
4043,707844
4044,698138
4045,690333
4046,680768
4047,671165
4048,664820
4049,655025
4050,645173
4051,635227
4052,625356
4053,615435
4054,605545
4055,595652
4056,585786
4057,575866
4058,567817
4059,558262
4060,548667
4061,539066
4062,529376
4063,519828
4064,510305
4065,500686
4066,491135
4067,481604
4068,471887
4069,462288
4070,452667
4071,444820
4072,435995
4073,426351
4074,416807
4075,407318
4076,397718
4077,388072
4078,378389
4079,368770
4080,359040
4081,349659
4082,340075
4083,330720
4084,322877
4085,313340
4086,303729
4087,294071
4088,285241
4089,275565
